petition_id,date_filed,Priority,appeal_id,filing_party,prop_i_petition,Address,petition_zip_code,supervisor_district,neighborhoods,shape,year,month,reason,value
T210954,2021-11-15,False,,tenant,,0 Block Of 06th Street,94103,6.0,South of Market,POINT (-122.40897 37.781185),2021,11,tenant_decrease_housing_services,True
T210866,2021-10-13,False,,tenant,,100 Block Of 06th Street,94103,6.0,South of Market,POINT (-122.40843 37.780754),2021,10,tenant_decrease_housing_services,True
T210665,2021-08-09,False,,tenant,,1700 Block Of 09th Avenue,94122,7.0,Inner Sunset,POINT (-122.46573 37.755646),2021,8,tenant_decrease_housing_services,True
T210646,2021-08-04,False,,tenant,,300 Block Of 05th Avenue,94118,1.0,Inner Richmond,POINT (-122.46328 37.78203),2021,8,tenant_decrease_housing_services,True
T210550,2021-06-30,False,,tenant,,0 Block Of 09th Street,94103,6.0,South of Market,POINT (-122.415016 37.776474),2021,6,tenant_decrease_housing_services,True
T210464,2021-05-28,False,,tenant,,600 Block Of 04th Avenue,94118,1.0,Inner Richmond,POINT (-122.4618 37.776398),2021,5,tenant_decrease_housing_services,True
T210403,2021-05-10,False,,tenant,,1800 Block Of 09th Avenue,94122,7.0,Inner Sunset,POINT (-122.4656 37.75378),2021,5,tenant_decrease_housing_services,True
T210269,2021-03-29,False,,tenant,,400 Block Of 08th Avenue,94118,1.0,Inner Richmond,POINT (-122.466354 37.77996),2021,3,tenant_decrease_housing_services,True
T210258,2021-03-24,False,,tenant,,300 Block Of 05th Avenue,94118,1.0,Inner Richmond,POINT (-122.46328 37.78203),2021,3,tenant_decrease_housing_services,True
T210005,2021-01-04,False,,tenant,,500 Block Of 08th Avenue,94118,1.0,Inner Richmond,POINT (-122.466225 37.778065),2021,1,tenant_decrease_housing_services,True
T201194,2020-12-22,False,,tenant,,600 Block Of 06th Avenue,94118,1.0,Inner Richmond,POINT (-122.46394 37.776302),2020,12,tenant_decrease_housing_services,True
T201165,2020-12-10,False,,tenant,,500 Block Of 05th Avenue,94118,1.0,Inner Richmond,POINT (-122.463005 37.77821),2020,12,tenant_decrease_housing_services,True
T200910,2020-09-25,False,,tenant,,100 Block Of 08th Avenue,94118,1.0,Inner Richmond,POINT (-122.46676 37.78564),2020,9,tenant_decrease_housing_services,True
T200721,2020-07-21,False,,tenant,,200 Block Of 02nd Avenue,94118,1.0,Inner Richmond,POINT (-122.460205 37.784073),2020,7,tenant_decrease_housing_services,True
T200707,2020-07-15,False,,tenant,,200 Block Of 04th Avenue,94118,1.0,Inner Richmond,POINT (-122.46235 37.783974),2020,7,tenant_decrease_housing_services,True
T200637,2020-06-24,False,,tenant,,700 Block Of 06th Avenue,94118,1.0,Inner Richmond,POINT (-122.46381 37.774498),2020,6,tenant_decrease_housing_services,True
T200598,2020-06-09,False,,tenant,,700 Block Of 06th Avenue,94118,1.0,Inner Richmond,POINT (-122.46381 37.774498),2020,6,tenant_decrease_housing_services,True
T200591,2020-06-04,False,,tenant,,200 Block Of 02nd Avenue,94118,1.0,Inner Richmond,POINT (-122.460205 37.784073),2020,6,tenant_decrease_housing_services,True
T200055,2020-01-14,False,,tenant,,100 Block Of 08th Avenue,94118,1.0,Inner Richmond,POINT (-122.46676 37.78564),2020,1,tenant_decrease_housing_services,True
T192022,2019-12-27,False,,tenant,,0 Block Of 06th Street,94103,6.0,South of Market,POINT (-122.40897 37.781185),2019,12,tenant_decrease_housing_services,True
T191969,2019-12-16,False,,tenant,,1200 Block Of 03rd Avenue,94122,5.0,Inner Sunset,POINT (-122.45992 37.76479),2019,12,tenant_decrease_housing_services,True
T191889,2019-11-21,False,,tenant,,200 Block Of 07th Avenue,94118,1.0,Inner Richmond,POINT (-122.46556 37.78387),2019,11,tenant_decrease_housing_services,True
T191888,2019-11-19,False,,tenant,,300 Block Of 05th Avenue,94118,1.0,Inner Richmond,POINT (-122.46328 37.78203),2019,11,tenant_decrease_housing_services,True
T191816,2019-11-12,False,,tenant,,100 Block Of 08th Avenue,94118,1.0,Inner Richmond,POINT (-122.46676 37.78564),2019,11,tenant_decrease_housing_services,True
T191616,2019-10-09,False,,tenant,,0 Block Of 06th Street,94103,6.0,South of Market,POINT (-122.40897 37.781185),2019,10,tenant_decrease_housing_services,True
T191534,2019-09-27,False,,tenant,,400 Block Of 05th Avenue,94118,1.0,Inner Richmond,POINT (-122.46314 37.780106),2019,9,tenant_decrease_housing_services,True
T190889,2019-06-10,False,,tenant,,100 Block Of 08th Street,94103,6.0,South of Market,POINT (-122.412384 37.776844),2019,6,tenant_decrease_housing_services,True
T190864,2019-05-30,False,,tenant,,100 Block Of 09th Avenue,94118,1.0,Inner Richmond,POINT (-122.467834 37.785603),2019,5,tenant_decrease_housing_services,True
T190651,2019-04-24,False,,tenant,,500 Block Of 08th Avenue,94118,1.0,Inner Richmond,POINT (-122.466225 37.778065),2019,4,tenant_decrease_housing_services,True
T190467,2019-03-21,False,,tenant,,700 Block Of 06th Avenue,94118,1.0,Inner Richmond,POINT (-122.46381 37.774498),2019,3,tenant_decrease_housing_services,True
T190284,2019-02-22,False,,tenant,,0 Block Of 07th Avenue,94118,2.0,Inner Richmond,POINT (-122.46582 37.78744),2019,2,tenant_decrease_housing_services,True
T182392,2018-12-11,False,,tenant,,300 Block Of 05th Avenue,94118,1.0,Inner Richmond,POINT (-122.46328 37.78203),2018,12,tenant_decrease_housing_services,True
T182388,2018-12-10,False,,tenant,,600 Block Of 05th Avenue,94118,1.0,Inner Richmond,POINT (-122.462875 37.776352),2018,12,tenant_decrease_housing_services,True
T181913,2018-09-21,False,,tenant,,300 Block Of 05th Avenue,94118,1.0,Inner Richmond,POINT (-122.46328 37.78203),2018,9,tenant_decrease_housing_services,True
T181861,2018-09-12,False,,tenant,,100 Block Of 05th Avenue,94118,2.0,Inner Richmond,POINT (-122.46356 37.785927),2018,9,tenant_decrease_housing_services,True
T181715,2018-08-21,False,,tenant,,400 Block Of 08th Avenue,94118,1.0,Inner Richmond,POINT (-122.466354 37.77996),2018,8,tenant_decrease_housing_services,True
T181635,2018-08-08,False,,tenant,,300 Block Of 05th Avenue,94118,1.0,Inner Richmond,POINT (-122.46328 37.78203),2018,8,tenant_decrease_housing_services,True
T181566,2018-07-30,False,,tenant,,300 Block Of 02nd Avenue,94118,1.0,Inner Richmond,POINT (-122.46007 37.782173),2018,7,tenant_decrease_housing_services,True
T181248,2018-06-26,False,,tenant,,0 Block Of 06th Street,94103,6.0,South of Market,POINT (-122.40897 37.781185),2018,6,tenant_decrease_housing_services,True
T181234,2018-06-27,False,,tenant,,400 Block Of 06th Avenue,94118,1.0,Inner Richmond,POINT (-122.46421 37.780056),2018,6,tenant_decrease_housing_services,True
T181128,2018-06-08,False,,tenant,,200 Block Of 08th Avenue,94118,1.0,Inner Richmond,POINT (-122.46663 37.783783),2018,6,tenant_decrease_housing_services,True
T180847,2018-05-03,False,,tenant,,0 Block Of 06th Street,94103,6.0,South of Market,POINT (-122.40897 37.781185),2018,5,tenant_decrease_housing_services,True
T180803,2018-04-30,False,,tenant,,100 Block Of 08th Avenue,94118,1.0,Inner Richmond,POINT (-122.46676 37.78564),2018,4,tenant_decrease_housing_services,True
T180486,2018-03-06,False,,tenant,,300 Block Of 05th Avenue,94118,1.0,Inner Richmond,POINT (-122.46328 37.78203),2018,3,tenant_decrease_housing_services,True
T180444,2018-03-01,False,,tenant,,300 Block Of 03rd Avenue,94118,1.0,Inner Richmond,POINT (-122.461136 37.782124),2018,3,tenant_decrease_housing_services,True
T180358,2018-02-14,False,,tenant,,500 Block Of 05th Avenue,94118,1.0,Inner Richmond,POINT (-122.463005 37.77821),2018,2,tenant_decrease_housing_services,True
T180253,2018-02-01,False,,tenant,,400 Block Of 06th Avenue,94118,1.0,Inner Richmond,POINT (-122.46421 37.780056),2018,2,tenant_decrease_housing_services,True
T172341,2017-12-14,False,,tenant,,400 Block Of 06th Avenue,94118,1.0,Inner Richmond,POINT (-122.46421 37.780056),2017,12,tenant_decrease_housing_services,True
T171857,2017-09-25,False,,tenant,,200 Block Of 07th Avenue,94118,1.0,Inner Richmond,POINT (-122.46556 37.78387),2017,9,tenant_decrease_housing_services,True
T171531,2017-08-04,False,,tenant,,1400 Block Of 06th Avenue,94122,5.0,Inner Sunset,POINT (-122.462906 37.761383),2017,8,tenant_decrease_housing_services,True
T171315,2017-07-12,False,,tenant,,0 Block Of 06th Street,94103,6.0,South of Market,POINT (-122.40947 37.781578),2017,7,tenant_decrease_housing_services,True
T171125,2017-06-16,False,,tenant,,500 Block Of 03rd Avenue,94118,1.0,Inner Richmond,POINT (-122.46086 37.77831),2017,6,tenant_decrease_housing_services,True
T171054,2017-06-06,False,,tenant,,300 Block Of 06th Avenue,94118,1.0,Inner Richmond,POINT (-122.464355 37.78198),2017,6,tenant_decrease_housing_services,True
T170734,2017-04-12,False,,tenant,,1200 Block Of 07th Avenue,94122,5.0,Inner Sunset,POINT (-122.464264 37.765514),2017,4,tenant_decrease_housing_services,True
T170664,2017-04-03,False,,tenant,,600 Block Of 03rd Avenue,94118,1.0,Inner Richmond,POINT (-122.46073 37.776447),2017,4,tenant_decrease_housing_services,True
T162290,2016-12-21,False,,tenant,,400 Block Of 06th Avenue,94118,1.0,Inner Richmond,POINT (-122.46421 37.780056),2016,12,tenant_decrease_housing_services,True
T161960,2016-10-19,False,,tenant,,600 Block Of 06th Avenue,94118,1.0,Inner Richmond,POINT (-122.46394 37.776302),2016,10,tenant_decrease_housing_services,True
T161508,2016-08-09,False,,tenant,,0 Block Of 06th Street,94103,6.0,South of Market,POINT (-122.40947 37.781578),2016,8,tenant_decrease_housing_services,True
T161471,2016-08-08,False,,tenant,,3900 Block Of 03rd Street,94124,10.0,Bayview Hunters Point,POINT (-122.388405 37.741516),2016,8,tenant_decrease_housing_services,True
T161180,2016-06-28,False,,tenant,,300 Block Of 04th Avenue,94118,1.0,Inner Richmond,POINT (-122.46221 37.782074),2016,6,tenant_decrease_housing_services,True
T160894,2016-05-19,False,,tenant,,4600 Block Of 03rd Street,94124,10.0,Bayview Hunters Point,POINT (-122.39034 37.736004),2016,5,tenant_decrease_housing_services,True
T160214,2016-02-02,False,,tenant,,200 Block Of 09th Street,94103,6.0,South of Market,POINT (-122.412895 37.774776),2016,2,tenant_decrease_housing_services,True
T160036,2016-01-11,False,,tenant,,600 Block Of 03rd Avenue,94118,1.0,Inner Richmond,POINT (-122.46073 37.776447),2016,1,tenant_decrease_housing_services,True
T152705,2015-12-30,False,,tenant,,400 Block Of 05th Avenue,94118,1.0,Inner Richmond,POINT (-122.46314 37.780106),2015,12,tenant_decrease_housing_services,True
T152704,2015-12-30,False,,tenant,,1200 Block Of 02nd Avenue,94122,5.0,Inner Sunset,POINT (-122.458916 37.76578),2015,12,tenant_decrease_housing_services,True
T152678,2015-12-22,False,,tenant,,1500 Block Of 09th Avenue,94122,7.0,Inner Sunset,POINT (-122.46599 37.759377),2015,12,tenant_decrease_housing_services,True
T152455,2015-11-17,False,,tenant,,300 Block Of 07th Avenue,94118,1.0,Inner Richmond,POINT (-122.46542 37.78193),2015,11,tenant_decrease_housing_services,True
T152371,2015-10-19,False,,tenant,,200 Block Of 07th Street,94103,6.0,South of Market,POINT (-122.408615 37.777363),2015,10,tenant_decrease_housing_services,True
T152344,2015-10-22,False,,tenant,,0 Block Of 06th Street,94103,6.0,South of Market,POINT (-122.40897 37.781185),2015,10,tenant_decrease_housing_services,True
T151806,2015-08-10,False,,tenant,,700 Block Of 05th Avenue,94118,1.0,Inner Richmond,POINT (-122.462746 37.77459),2015,8,tenant_decrease_housing_services,True
T151424,2015-07-06,False,,tenant,,300 Block Of 08th Avenue,94118,1.0,Inner Richmond,POINT (-122.46649 37.781887),2015,7,tenant_decrease_housing_services,True
T151401,2015-07-01,False,,tenant,,1300 Block Of 05th Avenue,94122,5.0,Inner Sunset,POINT (-122.46197 37.763294),2015,7,tenant_decrease_housing_services,True
T151370,2015-06-25,False,,tenant,,600 Block Of 07th Avenue,94118,1.0,Inner Richmond,POINT (-122.46501 37.776253),2015,6,tenant_decrease_housing_services,True
T150477,2015-03-10,False,,tenant,,400 Block Of 03rd Avenue,94118,1.0,Inner Richmond,POINT (-122.461 37.780197),2015,3,tenant_decrease_housing_services,True
T150221,2015-01-30,False,,tenant,,0 Block Of 06th Street,94103,6.0,South of Market,POINT (-122.40897 37.781185),2015,1,tenant_decrease_housing_services,True
T150083,2015-01-15,False,,tenant,,300 Block Of 06th Avenue,94118,1.0,Inner Richmond,POINT (-122.464355 37.78198),2015,1,tenant_decrease_housing_services,True
T150035,2015-01-09,False,,tenant,,1400 Block Of 09th Avenue,94122,5.0,Inner Sunset,POINT (-122.46612 37.761242),2015,1,tenant_decrease_housing_services,True
T150016,2015-01-07,False,,tenant,,700 Block Of 06th Avenue,94118,1.0,Inner Richmond,POINT (-122.46381 37.774498),2015,1,tenant_decrease_housing_services,True
T142482,2014-12-30,False,,tenant,,300 Block Of 05th Avenue,94118,1.0,Inner Richmond,POINT (-122.46328 37.78203),2014,12,tenant_decrease_housing_services,True
T142465,2014-12-24,False,,tenant,,200 Block Of 04th Avenue,94118,1.0,Inner Richmond,POINT (-122.46235 37.783974),2014,12,tenant_decrease_housing_services,True
